Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
11;33;Del Giro;99520000-7;COPEC S.A.;32107271;02/07/2026;02/07/2026 18:03:44;;0;8403;1597;;;10000;;;;;0;;;;0;;;;
12;33;Del Giro;99520000-7;COPEC S.A.;32124365;03/07/2026;03/07/2026 17:32:10;;6572;29418;5590;;;41580;;;;;0;;;;0;;;;
13;33;Del Giro;99520000-7;COPEC S.A.;32124410;03/07/2026;03/07/2026 17:32:55;;0;33298;6327;;;50000;;;;;0;;;;0;28;10375;0;
14;33;Del Giro;99520000-7;COPEC S.A.;32133874;06/07/2026;06/07/2026 17:31:11;;0;8403;1597;;;10000;;;;;0;;;;0;;;;
15;33;Del Giro;77400268-5;INVERSIONES Y COMERCIALIZADORA PCY LIMITADA;2683;07/07/2026;07/07/2026 10:47:03;;0;17771;3376;;;21147;;;;;0;;;;0;;;;
16;33;Del Giro;7253395-K;JUAN ENRIQUE ARAVENA MONTES;831704;08/07/2026;08/07/2026 14:32:02;;0;30470;5789;;;36259;;;;;0;;;;0;;;;
17;33;Del Giro;79703410-K;COMERCIAL RIHE SPA;300297;08/07/2026;08/07/2026 14:57:26;;0;40516;7698;;;48214;;;;;0;;;;0;;;;
18;33;Del Giro;79703410-K;COMERCIAL RIHE SPA;300298;08/07/2026;08/07/2026 14:57:26;;0;12480;2371;;;14851;;;;;0;;;;0;;;;
19;33;Del Giro;99520000-7;COPEC S.A.;32142210;08/07/2026;08/07/2026 15:03:19;;0;33097;6289;;;50000;;;;;0;;;;0;28;10614;0;
20;33;Del Giro;96815130-4;TRUCK TRAILER PARTS S.A.;350990;08/07/2026;08/07/2026 16:02:47;;0;74011;14062;;;88073;;;;;0;;;;0;;;;
21;33;Del Giro;78924030-2;Implementos S.A.;6729429;09/07/2026;09/07/2026 14:13:26;;0;65538;12452;;;77990;;;;;0;;;;0;;;;
22;33;Del Giro;77400268-5;INVERSIONES Y COMERCIALIZADORA PCY LIMITADA;2701;09/07/2026;09/07/2026 16:33:51;;0;11904;2262;;;14166;;;;;0;;;;0;;;;
23;33;Del Giro;99520000-7;COPEC S.A.;32154215;11/07/2026;11/07/2026 08:32:41;;0;37951;7211;;;50000;;;;;0;;;;0;28;4838;0;
24;33;Del Giro;77400268-5;INVERSIONES Y COMERCIALIZADORA PCY LIMITADA;2706;10/07/2026;11/07/2026 09:20:25;;0;189112;35931;;;225043;;;;;0;;;;0;;;;
25;33;Del Giro;77890722-4;Prosercom SpA;36094;11/07/2026;11/07/2026 13:09:28;;0;22771;4326;;;30000;;;;;0;;;;0;28;2903;9.68;
26;33;Del Giro;79588870-5;Esmax Distribucion SpA;2750776;12/07/2026;12/07/2026 23:03:15;;0;759419;144289;;;1000000;;;;;0;;;;0;28;96292;9.63;
27;33;Del Giro;96511460-2;Construmart S.A.;22889011;13/07/2026;13/07/2026 14:26:31;;0;536255;101889;;;638144;;;;;0;;;;0;;;;
28;33;Del Giro;99520000-7;COPEC S.A.;32162084;13/07/2026;13/07/2026 18:02:29;;0;8403;1597;;;10000;;;;;0;;;;0;;;;
29;33;Del Giro;77264074-9;SOCIEDAD COMERCIAL FIJASUR LIMITADA;6475;14/07/2026;14/07/2026 10:00:25;;0;70000;13300;;;83300;;;;;0;;;;0;;;;
30;33;Del Giro;99520000-7;COPEC S.A.;32166690;14/07/2026;14/07/2026 18:02:17;;0;75752;14393;;;100000;;;;;0;;;;0;28;9855;0;
31;33;Del Giro;77400268-5;INVERSIONES Y COMERCIALIZADORA PCY LIMITADA;2732;15/07/2026;17/07/2026 08:50:54;;0;63436;12053;;;75489;;;;;0;;;;0;;;;
32;33;Del Giro;77400268-5;INVERSIONES Y COMERCIALIZADORA PCY LIMITADA;2734;17/07/2026;17/07/2026 13:19:27;;0;44266;8411;;;52677;;;;;0;;;;0;;;;
33;33;Del Giro;77890722-4;Prosercom SpA;36566;17/07/2026;17/07/2026 18:05:39;;0;16347;2798;;;19145;;;;;0;;;;0;;;;
34;33;Del Giro;77398220-1;MercadoLibre Chile LTDA;14260930;18/07/2026;18/07/2026 16:03:57;;0;37807;7183;;;44990;;;;;0;;;;0;;;;
35;33;Del Giro;77398220-1;MercadoLibre Chile LTDA;14260932;18/07/2026;18/07/2026 16:04:39;;0;18977;3606;;;22583;;;;;0;;;;0;;;;
36;33;Del Giro;79588870-5;Esmax Distribucion SpA;2751869;20/07/2026;20/07/2026 09:35:30;;0;811375;154161;;;1000000;;;;;0;;;;0;28;34464;3.45;
37;33;Del Giro;96798550-3;Multiaceros S.A;869217;20/07/2026;20/07/2026 12:22:31;;0;983773;186918;;;1170691;;;;;0;;;;0;;;;
38;33;Del Giro;96882280-2;Importadora Transagro SA;678717;20/07/2026;20/07/2026 13:01:08;;0;21008;3992;;;25000;;;;;0;;;;0;;;;
39;33;Del Giro;99520000-7;COPEC S.A.;32186742;20/07/2026;20/07/2026 16:37:17;;0;12605;2395;;;15000;;;;;0;;;;0;;;;
40;33;Del Giro;79588870-5;Esmax Distribucion SpA;2754792;22/07/2026;22/07/2026 07:20:58;;0;121706;23124;;;150000;;;;;0;;;;0;28;5170;3.45;
41;33;Del Giro;79588870-5;Esmax Distribucion SpA;2754805;22/07/2026;22/07/2026 09:19:25;;0;129820;24666;;;160000;;;;;0;;;;0;28;5514;3.45;
42;33;Del Giro;79588870-5;Esmax Distribucion SpA;2754887;22/07/2026;22/07/2026 16:31:18;;0;811375;154161;;;1000000;;;;;0;;;;0;28;34464;3.45;
43;33;Del Giro;99520000-7;COPEC S.A.;32198037;23/07/2026;23/07/2026 12:05:28;;0;44769;8507;;;50000;;;;;0;;;;0;28;1;0;
44;33;Del Giro;79703410-K;COMERCIAL RIHE SPA;301679;24/07/2026;24/07/2026 11:30:09;;0;16806;3193;;;19999;;;;;0;;;;0;;;;
45;33;Del Giro;79703410-K;COMERCIAL RIHE SPA;301680;24/07/2026;24/07/2026 11:34:34;;0;16623;3158;;;19781;;;;;0;;;;0;;;;
46;33;Del Giro;99520000-7;COPEC S.A.;32203513;24/07/2026;24/07/2026 16:02:48;;0;53759;10215;;;60000;;;;;0;;;;0;28;1;0;
47;33;Del Giro;96511460-2;Construmart S.A.;22908735;24/07/2026;24/07/2026 16:35:55;;0;248771;47266;;;296037;;;;;0;;;;0;;;;
48;33;Del Giro;99520000-7;COPEC S.A.;32204802;24/07/2026;24/07/2026 20:34:21;;0;71678;13620;;;80000;;;;;0;;;;0;28;1;0;
49;33;Del Giro;76575460-7;RAMIREZ Y RAMIREZ  S.A;89054;25/07/2026;25/07/2026 09:41:53;;0;2479;471;;;2950;;;;;0;;;;0;;;;
50;33;Del Giro;76882569-6;Comercial Cerzar SpA;7242;27/07/2026;27/07/2026 10:16:35;;0;19673;3738;;;23411;;;;;0;;;;0;;;;
51;33;Del Giro;86887200-4;COMERCIALIZADORA DE ART  DE PROTECCION Y SEGURIDAD INDUSTRIAL MANQUEHUE LIMITADA;3704825;27/07/2026;27/07/2026 11:09:17;;0;56200;10678;;;66878;;;;;0;;;;0;;;;
52;33;Del Giro;5404067-9;CARLOS RENATO ROJAS GONZALEZ;38395;27/07/2026;27/07/2026 12:29:06;;0;5840;1110;;;6950;;;;;0;;;;0;;;;
53;33;Del Giro;76784703-3;SOLMET JA SPA;3883;27/07/2026;27/07/2026 12:44:35;;0;31933;6067;;;38000;;;;;0;;;;0;;;;
54;33;Del Giro;79588870-5;Esmax Distribucion SpA;2755582;28/07/2026;28/07/2026 01:18:11;;0;716101;136059;;;800000;;;;;0;;;;0;28;1;1;
55;33;Del Giro;7008234-9;NIBALDO ARTURO VALDES CORNEJO;105109;28/07/2026;28/07/2026 09:56:32;;0;81513;15487;;;97000;;;;;0;;;;0;;;;
56;33;Del Giro;99520000-7;COPEC S.A.;32544416;27/07/2026;28/07/2026 13:03:51;;0;89616;17028;;;100020;;;;;0;;;;0;28;1;0;
57;33;Del Giro;79588870-5;Esmax Distribucion SpA;2756031;29/07/2026;29/07/2026 10:33:31;;0;626588;119052;;;700000;;;;;0;;;;0;28;1;1;
58;33;Del Giro;79703410-K;COMERCIAL RIHE SPA;302126;29/07/2026;29/07/2026 12:25:41;;0;64427;12241;;;76668;;;;;0;;;;0;;;;
59;33;Del Giro;78924030-2;Implementos S.A.;6767525;29/07/2026;29/07/2026 14:10:00;;0;11588;2202;;;13790;;;;;0;;;;0;;;;
60;33;Del Giro;8614218-K;GUILLERMO TOBIAS MOLINA RUBIO;9363;29/07/2026;29/07/2026 15:07:43;;0;3529;671;;;4200;;;;;0;;;;0;;;;
61;33;Del Giro;8614218-K;GUILLERMO TOBIAS MOLINA RUBIO;9364;29/07/2026;29/07/2026 15:11:31;;0;5630;1070;;;6700;;;;;0;;;;0;;;;
62;33;Del Giro;99520000-7;COPEC S.A.;32550312;29/07/2026;30/07/2026 00:09:35;;0;44769;8507;;;50000;;;;;0;;;;0;28;1;0;
63;33;Del Giro;99520000-7;COPEC S.A.;32553336;29/07/2026;30/07/2026 04:31:17;;0;179282;34064;;;200000;;;;;0;;;;0;28;1;0;
64;61;Del Giro;79703410-K;COMERCIAL RIHE SPA;20435;02/07/2026;02/07/2026 14:12:49;;0;18674;3548;;;22222;;;;;0;;;;0;;;;
65;61;Del Giro;77400268-5;INVERSIONES Y COMERCIALIZADORA PCY LIMITADA;357;13/07/2026;14/07/2026 08:25:39;;0;20124;3824;;;23948;;;;;0;;;;0;;;;
